"id","userId","searchDate","networkCount","offenseType"
"413d2d01-1427-4aa4-8790-41ebe2b173d1","***","2026-08-25T02:22:04.751Z","148","Wanted Person (Arrest Warrant/Fugitive)"
"4b9a9b42-801a-4c4f-87ff-ad9d2cacc8b0","***","2026-08-25T03:44:31.981Z","148","Wanted Person (Arrest Warrant/Fugitive)"
"9e23d31e-5bf3-4561-9c01-e3cc640c369b","***","2026-08-25T03:53:39.693Z","148","Motor Vehicle Theft/Stolen"
"25100ecd-9eff-41cc-b5f3-992e0bd69c50","***","2026-08-25T04:13:32.030Z","3","Drugs/Narcotics"
"25fe5f83-47b3-4210-9659-a0b27faba04d","***","2026-08-25T07:36:39.742Z","148","Motor Vehicle Theft/Stolen"
"8db71805-c97f-4d84-baca-64496443f8eb","***","2026-08-25T11:48:30.865Z","148","Hit and Run/Car Accident"
"7ab9bc02-726b-4d28-8cae-481f6622ff5c","***","2026-08-25T12:12:03.338Z","148","Motor Vehicle Theft/Stolen"
"9d4f3986-e95c-4a18-8f41-160c7ae497e8","***","2026-08-25T13:42:28.899Z","796","Drugs/Narcotics"
"c42c51c4-8de0-4ea5-8ea4-da77bc8416a2","***","2026-08-25T14:03:33.342Z","796","Drugs/Narcotics"
"65e772d5-529c-4a12-ae6a-956e0dee3e56","***","2026-08-25T14:53:57.335Z","148","Hit and Run/Car Accident"
"d878ebf2-4002-483b-bb2d-c22926802f41","***","2026-08-25T15:00:23.719Z","148","Hit and Run/Car Accident"
"6ad65434-2207-4f04-9d9a-3fe79937ec01","***","2026-08-25T17:34:16.816Z","3","Weapons Offense (Guns/Shots Fired)"
"4313792b-c28c-4b98-b89b-79be90e9e60e","***","2026-08-25T17:57:08.924Z","3","Weapons Offense (Guns/Shots Fired)"
"e928bbf0-15c7-41d6-bb5b-8379ec6de3d4","***","2026-08-25T18:23:39.884Z","148","Motor Vehicle Theft/Stolen"
"678a3961-f17c-48f9-ac8d-b4dcc3df230f","***","2026-08-25T20:22:33.213Z","805","Homicide/Death Investigation"
"651c7b0a-f249-4521-9728-1a893e8d7b7c","***","2026-08-25T20:40:53.756Z","806","Weapons Offense (Guns/Shots Fired)"
"fd4bc88d-ed9a-4763-8e67-f95493038036","***","2026-08-25T20:58:03.785Z","3","Drugs/Narcotics"
"2acc8efe-75af-4118-955a-d48d41c403de","***","2026-08-25T21:27:38.068Z","3","Homicide/Death Investigation"
"205708ad-5435-4b2c-a9bc-56b17184d8ac","***","2026-08-25T21:41:02.578Z","794","Weapons Offense (Guns/Shots Fired)"
"577a589a-b939-4ce4-970a-281a8d496961","***","2026-08-25T21:43:37.998Z","806","Weapons Offense (Guns/Shots Fired)"
"a9d056ac-9921-4fdd-a82a-d4d53cbfa5b8","***","2026-08-25T21:54:27.767Z","3","Homicide/Death Investigation"
"9a02ede9-7209-4967-bc41-317b2f33cafb","***","2026-08-25T22:01:55.316Z","3","Drugs/Narcotics"
"5318a1fd-f89d-4723-9df3-6b341ce8b0c5","***","2026-08-25T23:13:33.427Z","148","Motor Vehicle Theft/Stolen"
"1d29215c-5c8a-4abf-8ec9-fc4448cd67c9","***","2026-08-26T00:10:50.474Z","148","Wanted Person (Arrest Warrant/Fugitive)"
"e5f4ea20-8029-4950-96ac-f73c5ad9ca21","***","2026-08-26T00:20:14.634Z","794","Drugs/Narcotics"
"dc31c648-ad89-4ff7-8d4d-b8b79cb37e8f","***","2026-08-26T00:53:02.538Z","148","Wanted Person (Arrest Warrant/Fugitive)"
"8ed1c8fb-1f36-4084-8b97-346b5adb74a0","***","2026-08-26T00:55:38.855Z","3","Assault/Battery Offenses"
"d008bc92-23c4-4bc5-acaa-67728e9f5a38","***","2026-08-26T01:33:28.046Z","3","Assault/Battery Offenses"
"b2166119-85bb-4113-abe5-867cd5c5c356","***","2026-08-26T01:39:22.741Z","148","Drugs/Narcotics"
"10ef232a-7d52-4c6d-9b66-20bb117b74e3","***","2026-08-26T02:18:49.131Z","148","Drugs/Narcotics"
"88b0bf91-1ba4-41f1-b128-d777ebcc1ab3","***","2026-08-26T02:23:32.088Z","806","Drugs/Narcotics"
"63dd32d9-e113-4f2f-9347-0e2ee2a6481d","***","2026-08-26T02:31:37.170Z","3","Drugs/Narcotics"
"66eac38c-a6ef-4432-99e5-a30d26db0eb5","***","2026-08-26T02:36:02.045Z","3","Motor Vehicle Theft/Stolen"
"17031d1d-e501-4a7d-96aa-529fa69cdae8","***","2026-08-26T02:36:08.650Z","3","Motor Vehicle Theft/Stolen"
"5d7de80f-affc-4580-b554-d9b7ee537789","***","2026-08-26T02:36:47.727Z","3","Motor Vehicle Theft/Stolen"
"6e975c1a-d905-460a-a186-2d4eeae9ab51","***","2026-08-26T02:39:51.255Z","796","Motor Vehicle Theft/Stolen"
"90c1057c-06f5-4fa3-8341-1226078736e3","***","2026-08-26T03:01:29.031Z","796","Motor Vehicle Theft/Stolen"
"e4f16c86-aa7e-4481-83ae-7228227a073e","***","2026-08-26T03:04:16.600Z","148","Motor Vehicle Theft/Stolen"
"58c48836-98af-4b0a-bfc3-2efd13a23c22","***","2026-08-26T03:17:01.100Z","3","Motor Vehicle Theft/Stolen"
"896ce88a-2023-4f6b-bc73-e673dd7257a6","***","2026-08-26T03:38:36.985Z","148","Drugs/Narcotics"
"3c6d0203-ce40-450f-a160-5b007bf93a9e","***","2026-08-26T04:06:35.746Z","796","Motor Vehicle Theft/Stolen"
