"id","searchDate","networkCount","caseNumber","offenseType"
"4f0a8ed0-47fa-49cd-9812-a2bb92cf090d","2026-08-26T01:09:47.359Z","1","26-23503","Wanted Person (Arrest Warrant/Fugitive)"
"827bf91d-d4d8-49b3-a4a8-9aa44da8d213","2026-08-26T03:06:34.015Z","1","26-23503","Wanted Person (Arrest Warrant/Fugitive)"
"7ae330cd-7292-4299-ab81-163a56afdca6","2026-08-26T04:33:46.757Z","1","26-24114","Wanted Person (Arrest Warrant/Fugitive)"
"a68b583e-12c5-4ecc-bd08-ae6d4894bbc2","2026-08-26T14:58:35.382Z","1079","26-25815","Homicide/Death Investigation"
"bbe0583e-7ef1-47f4-9129-9aae2e37bbe6","2026-08-26T15:04:49.381Z","1079","26-25815","Homicide/Death Investigation"
"43538b4c-b75a-4283-911a-e5029f346743","2026-08-27T03:09:30.520Z","1077","26-29202","Larceny/Theft Offenses"
"06ba9226-e17e-4d04-a97d-3e4d8d642a3e","2026-08-27T09:15:24.510Z","1077","26-26774","Hit and Run/Car Accident"
"51b16322-edfc-4548-a3d9-f2e180a0dde1","2026-08-27T10:21:04.815Z","1077","26-29202","Larceny/Theft Offenses"
"0e0ea1b0-2517-4ced-8f62-6d2f44465361","2026-08-27T16:49:52.574Z","1076","26-25815","Homicide/Death Investigation"
"366ca314-dfb0-4b19-a810-ab1f9a9292a3","2026-08-27T17:21:23.443Z","1075","26-29270","Larceny/Theft Offenses"
"238a58fe-bfde-41a1-9145-1779b5cea18e","2026-08-28T00:10:39.452Z","6062","2026-00024841","Drugs/Narcotics"
"953e0693-b8fe-4b9c-ae32-cba645ba807f","2026-08-28T03:40:43.537Z","1075","23-35781","Motor Vehicle Theft/Stolen"
"249978a3-4353-4695-a555-edfd1b5ed4d6","2026-08-28T04:06:32.824Z","6","26-29362","Obstructing the Police (Fleeing/Eluding)"
"73db4369-bcc9-4ba3-8b38-4ae6280b39d2","2026-08-28T14:17:44.093Z","1","26-29417","Hit and Run/Car Accident"
"762a352e-0ad7-47a7-99e5-b4b6b0cec238","2026-08-28T14:29:09.238Z","1072","26-29417","Hit and Run/Car Accident"
"63947b28-fc93-445a-85ff-a5ee8c0a8760","2026-08-28T15:23:36.759Z","1072","26-29417","Hit and Run/Car Accident"
"e0c1bf74-9d45-48c6-85d7-460dba970a78","2026-08-28T21:29:11.072Z","6","26-29462","Motor Vehicle Theft/Stolen"
"3178f654-84d1-4fd3-8031-d6cc4bbdc0a7","2026-08-29T13:07:07.677Z","1","26-29548","Hit and Run/Car Accident"
"f9a18cef-f4f5-411e-af0b-138cf18f1401","2026-08-29T16:12:34.297Z","1","26-29577","Larceny/Theft Offenses"
"7524d3bf-a5a0-498d-b95b-ca2c3412a4e0","2026-08-29T17:55:47.474Z","1","26-29581","Larceny/Theft Offenses"
"93a2c591-9b8e-4509-89d0-dfede1954f67","2026-08-29T18:00:17.211Z","1","26-29581","Larceny/Theft Offenses"
"ac21c73b-fcbb-4b63-96bc-f31c0be2aef8","2026-08-30T04:38:35.942Z","1","26-29633","Larceny/Theft Offenses"
