"id","userId","searchDate","networkCount","offenseType"
"48a54111-ed6e-4268-850b-384195f29ca4","***","2026-08-24T03:02:41.874Z","1","Hit and Run/Car Accident"
"5fda0cf6-2683-489f-a63f-0e0ff759d45f","***","2026-08-25T12:47:41.477Z","5895","Counterfeiting/Forgery"
"f48ae60b-c26f-40cf-a06f-00a6a167fa90","***","2026-08-25T18:21:36.357Z","5896","Counterfeiting/Forgery"
"9b8307bd-efef-4334-bc48-98f2e62f9169","***","2026-08-26T11:35:56.796Z","5891","Counterfeiting/Forgery"
"30740a84-b972-4fb8-98a9-17800b0b2c6d","***","2026-08-26T12:13:08.165Z","1","Threats/Harassment"
"195f7a62-6a92-49a0-aa82-c20880c8fdb4","***","2026-08-26T17:36:30.788Z","1","Counterfeiting/Forgery"
"4a201c01-f0e5-4c23-b1ea-ceba5e12b02c","***","2026-08-26T18:45:08.886Z","18","Counterfeiting/Forgery"
"bded7d20-eac3-432c-b164-633ff274b93b","***","2026-08-27T10:20:31.525Z","1","Welfare Check"
"90ac7b70-f164-4782-82a6-c66cd8d6f8cd","***","2026-08-27T11:04:35.030Z","1","Welfare Check"
"8ceb986d-a986-4604-96b6-02e0bbadd2e8","***","2026-09-10T16:26:59.000Z","5","Stolen Property Offenses"
"472e02bd-7ef4-42e2-a842-70ee6d5eee84","***","2026-09-10T17:18:03.517Z","17","Larceny/Theft Offenses"
"30a0b18a-82ab-45c9-977d-c515f8a7abe5","***","2026-09-10T18:02:50.011Z","17","Larceny/Theft Offenses"
"a88d76cf-3d16-4212-bd43-0f525c69c355","***","2026-09-10T19:14:53.104Z","17","Larceny/Theft Offenses"
"67785e91-1ca7-48e5-a37b-112066b5e439","***","2026-09-17T13:28:58.803Z","22","Missing/Endangered Person/Runaway"
"2ccc0fc0-6f52-4b39-b2a3-df0bbb6de3b4","***","2026-09-17T13:33:56.877Z","1","Financial Crime (Embezzlement/Fraud)"
