"id","searchDate","networkCount","reason","offenseType"
"5edfba6f-ca86-4817-ae05-e5cd11fce6a7","2026-08-24T14:03:21.361Z","1377","OMG","Drugs/Narcotics"
"f84b03b4-6c21-4204-b448-6a5b1415dd72","2026-08-24T16:36:45.478Z","1373","OMG","Drugs/Narcotics"
"b724ddda-6d9a-497e-823d-738c0da9356f","2026-08-24T21:00:48.429Z","1423","udaa","Motor Vehicle Theft/Stolen"
"7ccee346-4360-4eb7-86ff-52b5ae62ce07","2026-08-24T22:19:53.688Z","1","udaa","Motor Vehicle Theft/Stolen"
"e09b4f98-e7f3-4fb8-8e48-acf3bf0dfee5","2026-08-25T12:02:30.633Z","1369","DV","Assault/Battery Offenses"
"3af9809f-3919-4eac-b466-1bf03d62ed01","2026-08-25T13:01:36.103Z","1423","Road Rage","Assault/Battery Offenses (Domestic)"
"00488dc8-ca2c-4c01-a6e3-2234b12e5a24","2026-08-25T15:10:37.929Z","1371","suspect vehicle - domestic assault","Assault/Battery Offenses (Domestic)"
"f21af5fb-1cf2-486b-8971-9762728c8f7b","2026-08-25T15:11:31.080Z","1423","Assault","Assault/Battery Offenses"
"46a8c235-0e64-458f-abfd-be3d28996e28","2026-08-25T15:12:54.889Z","1369","Suspect","Assault/Battery Offenses (Domestic)"
"52049594-1c48-4aa3-bfdb-b1d363e8c664","2026-08-25T15:19:42.262Z","1369","DV","Assault/Battery Offenses"
"5765547f-a3db-4616-8c2b-e2d45f3ce21d","2026-08-25T15:25:37.904Z","1369","Grpd and homicide suspect tie in","Motor Vehicle Theft/Stolen"
"ac013f81-e70a-4bd9-afa0-6fa25d1fb638","2026-08-25T20:38:43.188Z","1","motorcycle fail to yield","Obstructing the Police (Fleeing/Eluding)"
"a9c36141-d5a7-4c24-9cf1-facf89c12252","2026-08-25T22:06:25.048Z","1","hit and run suspect","Hit and Run/Car Accident"
"d8151159-19ff-4109-ba9f-a76d2062463b","2026-08-25T22:29:45.400Z","1312","suspect vehicle","Hit and Run/Car Accident"
"b5813bc7-40bd-4e6c-a00b-9fec4ddc42fa","2026-08-25T22:46:56.128Z","1421","BOL","Hit and Run/Car Accident"
"e28b61cc-448d-4243-b0f6-dfbd590007a9","2026-08-25T23:00:00.377Z","1421","BOL","Hit and Run/Car Accident"
"1802b8fa-1948-45be-82df-cb10df7bbf1a","2026-08-25T23:35:23.856Z","1421","Stolen license plate","Larceny/Theft Offenses"
"a78dc0d5-0bfe-4365-91a6-cd1d79fdf771","2026-08-25T23:39:12.050Z","1421","bol","Stolen Property Offenses"
"1663ac40-010b-48ee-a87d-60683ae108a4","2026-08-26T00:02:09.957Z","1421","Stolen license plate","Larceny/Theft Offenses"
"0d19a777-37d4-4d84-92e3-ca2aa5118e45","2026-08-26T01:13:27.951Z","1421","Stolen license plate","Larceny/Theft Offenses"
"0aeb41cc-403a-472b-8ae0-95ab1e1b7402","2026-08-26T02:28:11.913Z","1421","Stolen license plate","Larceny/Theft Offenses"
"cc052a44-1673-447e-bb10-6f3bc2d72ad1","2026-08-26T02:31:08.743Z","1419","Swerving all over road","Traffic Infraction"
"99e7d80c-c22a-488a-b3d9-822466c0d163","2026-08-26T05:18:48.067Z","1","hit and run suspect","Hit and Run/Car Accident"
"cb0d6970-8e87-4a3f-85d0-9b5deccf8844","2026-08-26T10:48:35.904Z","1412","request from south haven from capt haglud to search for armed robbery vehicle from 08-18-26","Robbery"
"1b0927c2-c4be-4ce0-a905-dbafea1b4c28","2026-08-26T11:03:43.010Z","1","flee and elude degraaf","Obstructing the Police (Fleeing/Eluding)"
"44888507-79ae-4280-bddc-c6f3e53a5073","2026-08-26T15:53:00.213Z","1310","Jamie Poledore warrant","Assault/Battery Offenses (Domestic)"
"73c063dc-2354-4d13-be11-8656bc7765e0","2026-08-26T15:57:34.819Z","1","ottawa count home invasion hpd assist","Burglary/Breaking & Entering"
"7581b5a2-4a95-4edc-8e05-4da11084c90d","2026-08-26T15:57:39.097Z","1367","Locate vehicle","Burglary/Breaking & Entering"
"d711fa82-7053-43ba-8370-a397e7c77129","2026-08-26T16:00:29.850Z","1","ottawa count home invasion hpd assist","Burglary/Breaking & Entering"
"5c6eddc2-8302-4459-807c-583a20922650","2026-08-26T16:02:55.104Z","1410","B&E possible suspect vehicle","Burglary/Breaking & Entering"
"99f924f1-5939-4d29-820e-f684d191138a","2026-08-26T16:16:34.308Z","1323","BE","Burglary/Breaking & Entering"
"ec4f5cee-c764-42d6-bd4c-947db9f22b3a","2026-08-26T17:20:20.530Z","1323","BE","Burglary/Breaking & Entering"
"bdbf4040-a0de-48f4-9735-ebc9939c9d94","2026-08-26T18:02:13.212Z","1410","ottawa count home invasion hpd assist","Burglary/Breaking & Entering"
"7c4e8903-f11a-4e3a-9650-59cf8fbf6078","2026-08-26T19:30:49.240Z","1321","Suspext vehicle","Hit and Run/Car Accident"
"323bc379-2218-40ec-b3f1-c17a5a8688aa","2026-08-26T20:07:10.122Z","1409","ottawa count home invasion hpd assist","Burglary/Breaking & Entering"
"16a6a3d5-d1ac-4d39-a57b-b7f55b45d566","2026-08-26T20:17:59.650Z","1408","fraud motorhome sale","Financial Crime (Embezzlement/Fraud)"
"fb04ef66-6b15-411b-a353-0c967f30ffa4","2026-08-26T20:44:38.451Z","1309","Suspect vehicle","Burglary/Breaking & Entering"
"331598cf-9d97-47f5-80d1-32dcf5887256","2026-08-26T21:45:10.586Z","1","b&e","Burglary/Breaking & Entering"
"28e56ae6-9cb0-405a-b377-2824fa53116b","2026-08-27T01:19:00.563Z","1","traffic complaint","Traffic Infraction"
"d886942f-69ba-46a7-ac3e-f38f20692886","2026-08-27T06:01:45.434Z","1417","hit and run","Hit and Run/Car Accident"
"0c855a13-5eb0-4671-88f3-448478d43a90","2026-08-27T08:10:05.990Z","1417","hit and run","Hit and Run/Car Accident"
"d6a26f28-72e6-4d7f-8882-d0638782f047","2026-08-27T10:20:01.131Z","1364","Missing person wjth mental conditions","Missing/Endangered Person/Runaway"
"4cc0b61b-b8ba-4eec-a581-47d04326ea07","2026-08-27T12:13:50.560Z","1","fraud motorhome sale","Financial Crime (Embezzlement/Fraud)"
"6157f6d8-1828-4d6b-bf8d-08e6f7b82198","2026-08-27T12:40:34.045Z","1","suspect vehicle","Burglary/Breaking & Entering"
"c72ef049-497f-4d24-a040-99d5760e76b8","2026-08-27T13:05:40.043Z","1","fraud motorhome sale","Financial Crime (Embezzlement/Fraud)"
"a410e4ab-dabd-429b-9395-41c5889995d1","2026-08-27T14:59:17.337Z","1406","wanted subject","Wanted Person (Arrest Warrant/Fugitive)"
"335b0a40-8aed-4411-beb8-436ee83ea995","2026-08-27T15:01:31.508Z","1406","wanted subject","Wanted Person (Arrest Warrant/Fugitive)"
"43e34210-42f3-4eb0-8d5e-ae8825bc1ea9","2026-08-27T15:44:53.211Z","1361","Fugitive briggs","Wanted Person (Arrest Warrant/Fugitive)"
"c90d01ec-abf6-41aa-ac5e-f9aa20284a03","2026-08-27T16:00:32.730Z","1361","Wanted subj","Wanted Person (Arrest Warrant/Fugitive)"
"eb841370-9ae1-4f23-981d-c7a7311185cc","2026-08-27T16:01:59.926Z","1361","Fugitive briggs","Wanted Person (Arrest Warrant/Fugitive)"
"a33c1ff9-8d2c-4750-be94-384557055f1e","2026-08-27T16:04:27.790Z","1361","Fugitive poledore","Wanted Person (Arrest Warrant/Fugitive)"
"95936f76-d09e-4f9d-81c8-310a4082a449","2026-08-27T16:05:13.164Z","1405","Felony warrant suspect","Financial Crime (Embezzlement/Fraud)"
"db4b20f8-1914-4f5d-b9d6-b420aa8acdaa","2026-08-27T17:06:13.710Z","1406","Possible suspect vehicle","Burglary/Breaking & Entering"
"492ae3e4-7845-4288-ae0e-81dba565edf1","2026-08-27T17:57:31.176Z","1","fraud motorhome sale","Financial Crime (Embezzlement/Fraud)"
"15f613d5-6028-478d-ab5a-2910424236ab","2026-08-27T18:02:09.525Z","1405","fraud motorhome sale","Financial Crime (Embezzlement/Fraud)"
"d8978d0f-72c7-4d99-a23c-26b04edf8da0","2026-08-28T01:49:23.767Z","1303","Suspect vehicle","Driving Under the Influence (DUI/DWI/OWI/OVI)"
"07575596-35aa-4cca-adda-008d0425705d","2026-08-28T18:21:05.174Z","1399","PI hit/Run","Hit and Run/Car Accident"
"96864292-1d9c-4986-addb-29774d8d3940","2026-08-28T18:39:33.811Z","1357","Suspect Vehicle","Hit and Run/Car Accident"
"4472b225-3f87-4129-b05d-103d5ea50d91","2026-08-28T19:31:12.739Z","1399","PI hit/Run","Hit and Run/Car Accident"
"1896c9cd-abc5-42a8-baef-2db70136fb5f","2026-08-28T20:45:13.604Z","1407","Lost car","City Planning/Traffic Analysis"
"fd8e59d5-f482-4349-ad4c-76ab017e7218","2026-08-28T22:52:25.531Z","1","Shoplifting","Larceny/Theft Offenses"
"4033d1ed-6367-4b86-b600-68b52f2c187b","2026-08-29T12:14:46.700Z","1357","Fugitive poledore","Burglary/Breaking & Entering"
"32bec083-80f9-48ab-9821-76e028dea76b","2026-08-29T16:01:12.985Z","1315","Bol","Robbery"
"e7af8ad2-d638-4557-9014-dfe583e288ca","2026-08-29T16:16:18.456Z","1408","ocso armed robbery","Robbery"
"0b5ee78c-d05f-42cc-9cfe-747c98d4d25d","2026-08-29T18:14:20.780Z","1407","BOL","Welfare Check"
"07bbae9d-fa96-4643-ae9d-77b026329110","2026-08-29T18:17:25.605Z","1408","stolen vehicle","Motor Vehicle Theft/Stolen"
"a65ee2c5-aef3-4096-be5e-137e00992c9a","2026-08-29T20:55:23.832Z","1407","bol","Hit and Run/Car Accident"
"5c2f12bd-f83c-4c73-8d98-6835fdb98ffc","2026-08-29T20:55:24.960Z","1407","assist other agency","Hit and Run/Car Accident"
"506fa1b3-c65c-449d-82a0-0095ee253e69","2026-08-29T21:00:52.817Z","1","assist allegan on hit and run","Hit and Run/Car Accident"
"6af22489-c258-456c-ac1f-22f2d3fc7ed7","2026-08-29T21:01:39.885Z","1407","bol","Hit and Run/Car Accident"
"bd12634f-77f0-4848-b054-e67af05ea479","2026-08-29T21:01:41.760Z","1407","assist other agency","Hit and Run/Car Accident"
"9544dd44-9bea-45c5-a9b5-e293c5000984","2026-08-29T22:14:13.743Z","1","assist allegan on hit and run","Hit and Run/Car Accident"
"2c9b2953-f501-4f9f-9aa0-a41be5c170ec","2026-08-29T22:25:53.755Z","1","DV suspect","Assault/Battery Offenses (Domestic)"
"0ff1de86-0a93-48e4-89b7-90f54e817d92","2026-08-30T09:05:17.368Z","1407","dv she left in the car","Assault/Battery Offenses"
"b1cadb16-a36d-4299-8973-4b168013b2e0","2026-08-30T19:56:24.518Z","1356","hit and run suspect","Hit and Run/Car Accident"
"70c5f3f0-a1a8-4bad-8235-5775ecc51407","2026-08-30T20:01:41.841Z","1356","hit and run suspect","Hit and Run/Car Accident"
"63befdc9-6190-4507-be29-7faf1bb2cb7e","2026-08-30T22:10:49.186Z","1408","SHOOTING","Weapons Offense (Guns/Shots Fired)"
